TransactionID,Date,CustomerID,TransactionType,Channel,Amount,Segment,Branch,MerchantCategory,PaymentMethod,Currency,Status,TimeOfDay
BTD00058,2025-01-01,ASR3659,Deposit,Mobile Apps,7047073,Regular,Palembang,Entertainment,Virtual Account,SAR,Pending,Night
BTD00059,2025-01-01,ASR0702,Transfer,Mobile Apps,1522223,Corporate,Palembang,Fashion,Virtual Account,KRW,Pending,Afternoon
BTD00060,2025-01-01,ASR9498,Deposit,Internet Banking,14895675,Regular,Bandung,Fashion,QRIS,SGD,Pending,Evening
BTD00061,2025-01-01,ASR7394,Transfer,Teller,387179,Corporate,Palembang,Entertainment,Credit Card,KRW,Failed,Night
BTD00062,2025-01-01,ASR8229,Deposit,Mobile Apps,566547,Regular,Balikpapan,Electronics,QRIS,JPY,Success,Evening
BTD00063,2025-01-01,ASR1212,Withdrawal,Teller,3536230,Regular,Jakarta,Electronics,QRIS,KRW,Success,Afternoon
BTD00064,2025-01-01,ASR1029,Withdrawal,Teller,2666345,Premium,Makassar,Fashion,Virtual Account,SGD,Failed,Morning
BTD00065,2025-01-01,ASR9730,Payment,Mobile Apps,11307769,Regular,Denpasar,Utilities,QRIS,KRW,Success,Afternoon
BTD00066,2025-01-01,ASR7043,Payment,Internet Banking,10043383,Corporate,Pontianak,Utilities,QRIS,AUD,Pending,Night
BTD00067,2025-01-01,ASR4574,Transfer,Mobile Apps,2260868,Corporate,Jayapura,Entertainment,QRIS,KRW,Failed,Evening
BTD00068,2025-01-01,ASR3969,Payment,Internet Banking,5706662,Premium,Manado,Food,Credit Card,THB,Success,Evening
BTD00069,2025-01-01,ASR1380,Payment,Teller,8382373,Corporate,Surabaya,Food,Debit Card,SGD,Pending,Night
BTD00070,2025-01-01,ASR9232,Payment,Internet Banking,198821,Regular,Pontianak,Food,Virtual Account,SGD,Pending,Night
BTD00071,2025-01-01,ASR7534,Transfer,Mobile Apps,1217125,Regular,Jayapura,Entertainment,Credit Card,SAR,Failed,Night
BTD00072,2025-01-01,ASR0921,Deposit,Teller,533060,Regular,Palembang,Food,Virtual Account,SGD,Success,Afternoon
BTD00073,2025-01-01,ASR2562,Transfer,Internet Banking,10042228,Regular,Surabaya,Fashion,Virtual Account,CNY,Failed,Night
BTD00074,2025-01-01,ASR5708,Deposit,Teller,5674048,Corporate,Bandung,Electronics,Credit Card,SGD,Success,Morning
BTD00075,2025-01-01,ASR9348,Deposit,Mobile Apps,6355841,Regular,Palembang,Food,QRIS,USD,Failed,Afternoon
BTD00076,2025-01-01,ASR8699,Payment,Teller,7410235,Corporate,Manado,Food,Credit Card,EUR,Success,Afternoon
BTD00077,2025-01-01,ASR0003,Transfer,Internet Banking,1338218,Premium,Surabaya,Fashion,Credit Card,SGD,Failed,Morning
BTD00078,2025-01-01,ASR0253,Transfer,Mobile Apps,776290,Premium,Pontianak,Utilities,Debit Card,SGD,Pending,Night
BTD00079,2025-01-01,ASR4923,Payment,Teller,13029517,Corporate,Pontianak,Electronics,Virtual Account,CNY,Success,Morning
BTD00080,2025-01-01,ASR1487,Transfer,Internet Banking,8465628,Premium,Medan,Entertainment,Credit Card,MYR,Success,Evening
BTD00081,2025-01-01,ASR1225,Deposit,Mobile Apps,10844251,Regular,Palembang,Electronics,Credit Card,SAR,Success,Afternoon
BTD00082,2025-01-01,ASR0199,Withdrawal,Teller,8334876,Regular,Manado,Electronics,Virtual Account,THB,Success,Night
BTD00083,2025-01-01,ASR8072,Transfer,Mobile Apps,1055490,Regular,Makassar,Food,QRIS,SAR,Pending,Afternoon
BTD00084,2025-01-01,ASR2622,Withdrawal,Internet Banking,6409291,Premium,Manado,Electronics,Virtual Account,THB,Pending,Afternoon
BTD00085,2025-01-01,ASR6186,Deposit,Teller,848356,Corporate,Makassar,Utilities,Debit Card,CNY,Success,Morning
BTD00086,2025-01-01,ASR1698,Transfer,Teller,1147507,Premium,Surabaya,Entertainment,Credit Card,SAR,Pending,Morning
BTD00087,2025-01-01,ASR9545,Deposit,Internet Banking,7173191,Regular,Makassar,Entertainment,Virtual Account,SGD,Success,Evening
BTD00088,2025-01-01,ASR5487,Payment,Mobile Apps,7975677,Premium,Denpasar,Electronics,Debit Card,KRW,Success,Evening
BTD00089,2025-01-01,ASR4355,Transfer,ATM,4632194,Corporate,Balikpapan,Electronics,Credit Card,KRW,Success,Evening
BTD00090,2025-01-01,ASR1907,Withdrawal,Internet Banking,6386592,Corporate,Palembang,Food,Credit Card,MYR,Failed,Evening
BTD00091,2025-01-01,ASR8287,Deposit,Internet Banking,7394269,Corporate,Balikpapan,Entertainment,Virtual Account,CNY,Success,Afternoon
BTD00092,2025-01-01,ASR6564,Deposit,Mobile Apps,12534385,Corporate,Surabaya,Electronics,Credit Card,AUD,Failed,Evening
BTD00093,2025-01-01,ASR2947,Deposit,Internet Banking,3754955,Corporate,Denpasar,Fashion,Virtual Account,AUD,Pending,Evening
BTD00094,2025-01-01,ASR4455,Transfer,ATM,7825189,Corporate,Palembang,Food,Debit Card,CNY,Pending,Morning
BTD00095,2025-01-01,ASR4215,Transfer,Internet Banking,9954465,Regular,Manado,Utilities,QRIS,CNY,Success,Evening
BTD00096,2025-01-01,ASR8906,Deposit,Teller,13680590,Corporate,Manado,Electronics,QRIS,SGD,Success,Night
BTD00097,2025-01-01,ASR6758,Deposit,Teller,839099,Regular,Pontianak,Food,Virtual Account,SAR,Pending,Evening
BTD00098,2025-01-01,ASR5234,Transfer,ATM,70923,Regular,Surabaya,Utilities,Virtual Account,JPY,Failed,Evening
BTD00099,2025-01-01,ASR7420,Withdrawal,ATM,9900321,Regular,Balikpapan,Food,QRIS,CNY,Pending,Night
BTD00100,2025-01-01,ASR6387,Transfer,ATM,11637875,Corporate,Medan,Electronics,Debit Card,JPY,Success,Afternoon
BTD00101,2025-01-01,ASR2163,Withdrawal,Teller,10202045,Regular,Jakarta,Fashion,QRIS,CNY,Failed,Evening
BTD00102,2025-01-01,ASR2101,Withdrawal,Teller,4670338,Premium,Palembang,Food,Virtual Account,THB,Success,Night
BTD00103,2025-01-01,ASR5163,Transfer,ATM,3755839,Corporate,Manado,Electronics,Credit Card,SAR,Success,Morning
BTD00104,2025-01-01,ASR9037,Payment,Internet Banking,10316623,Premium,Bandung,Fashion,Virtual Account,MYR,Pending,Morning
BTD00105,2025-01-01,ASR6522,Withdrawal,Teller,840593,Premium,Makassar,Food,QRIS,SGD,Pending,Afternoon
BTD00106,2025-01-01,ASR3724,Deposit,Teller,7749514,Corporate,Makassar,Food,Virtual Account,KRW,Pending,Evening
BTD00107,2025-01-01,ASR2828,Withdrawal,Internet Banking,880966,Premium,Surabaya,Entertainment,Credit Card,KRW,Failed,Evening
BTD00108,2025-01-01,ASR8753,Withdrawal,Mobile Apps,7064164,Regular,Manado,Electronics,Virtual Account,SAR,Success,Evening
BTD00109,2025-01-01,ASR1397,Transfer,Mobile Apps,2418992,Premium,Manado,Fashion,Credit Card,SAR,Pending,Evening
BTD00110,2025-01-01,ASR7762,Transfer,ATM,3800055,Corporate,Medan,Electronics,Virtual Account,JPY,Success,Afternoon
BTD00111,2025-01-01,ASR4592,Transfer,ATM,447616,Corporate,Surabaya,Food,Debit Card,CNY,Success,Morning
BTD00112,2025-01-01,ASR4367,Withdrawal,Mobile Apps,7331863,Premium,Denpasar,Food,QRIS,USD,Pending,Night
BTD00113,2025-01-01,ASR5077,Deposit,ATM,2295611,Corporate,Surabaya,Entertainment,Debit Card,THB,Success,Morning
BTD00114,2025-01-01,ASR8474,Payment,Teller,5322072,Regular,Surabaya,Food,Debit Card,SAR,Failed,Morning
BTD00115,2025-01-01,ASR9842,Transfer,Teller,6637500,Regular,Surabaya,Entertainment,Debit Card,IDR,Failed,Morning
BTD00116,2025-01-01,ASR9362,Deposit,Mobile Apps,2260872,Corporate,Manado,Electronics,Debit Card,CNY,Failed,Morning
BTD00117,2025-01-01,ASR8660,Transfer,Mobile Apps,13495167,Corporate,Jakarta,Entertainment,Credit Card,KRW,Pending,Afternoon
BTD00118,2025-01-01,ASR6882,Withdrawal,Internet Banking,12543202,Regular,Palembang,Entertainment,Debit Card,KRW,Pending,Morning
BTD00119,2025-01-01,ASR2039,Withdrawal,Mobile Apps,9413500,Corporate,Palembang,Food,Virtual Account,IDR,Pending,Morning
BTD00120,2025-01-01,ASR3148,Withdrawal,Teller,14362840,Premium,Manado,Fashion,Debit Card,KRW,Failed,Night
BTD00121,2025-01-01,ASR2358,Payment,Mobile Apps,4847730,Corporate,Bandung,Fashion,Debit Card,MYR,Failed,Morning
BTD00122,2025-01-01,ASR9240,Transfer,Internet Banking,1388545,Regular,Jayapura,Electronics,Debit Card,AUD,Failed,Morning
BTD00123,2025-01-01,ASR4295,Payment,Mobile Apps,10272000,Corporate,Denpasar,Fashion,Debit Card,IDR,Pending,Morning
BTD00124,2025-01-01,ASR7607,Withdrawal,Internet Banking,1697523,Premium,Denpasar,Utilities,Debit Card,KRW,Failed,Morning
BTD00125,2025-01-01,ASR5980,Deposit,ATM,11728349,Premium,Jakarta,Entertainment,Credit Card,USD,Success,Night
BTD00126,2025-01-01,ASR2691,Deposit,ATM,3926931,Regular,Manado,Food,Debit Card,KRW,Pending,Evening
BTD00127,2025-01-01,ASR9717,Transfer,ATM,10502437,Regular,Balikpapan,Entertainment,Credit Card,THB,Pending,Night
BTD00128,2025-01-01,ASR3946,Withdrawal,Internet Banking,374105,Regular,Balikpapan,Electronics,Virtual Account,JPY,Failed,Afternoon
BTD00129,2025-01-01,ASR4650,Deposit,Internet Banking,5072000,Corporate,Palembang,Entertainment,QRIS,IDR,Pending,Evening
BTD00130,2025-01-01,ASR8490,Transfer,Teller,14987426,Corporate,Denpasar,Electronics,Credit Card,USD,Failed,Afternoon
BTD00131,2025-01-01,ASR4720,Withdrawal,Mobile Apps,5262619,Regular,Jayapura,Food,Credit Card,THB,Success,Afternoon
BTD00132,2025-01-01,ASR2638,Deposit,ATM,1352009,Premium,Medan,Electronics,QRIS,EUR,Failed,Morning
BTD00133,2025-01-01,ASR3743,Payment,Teller,8203263,Premium,Bandung,Entertainment,Credit Card,SAR,Failed,Night
BTD00134,2025-01-01,ASR2670,Withdrawal,Mobile Apps,7098244,Corporate,Denpasar,Food,Debit Card,JPY,Pending,Night
BTD00135,2025-01-01,ASR0128,Transfer,Teller,2570547,Regular,Jayapura,Food,Virtual Account,JPY,Failed,Night
BTD00136,2025-01-01,ASR7909,Deposit,Teller,13282858,Corporate,Manado,Food,QRIS,USD,Success,Evening
BTD00137,2025-01-01,ASR1780,Withdrawal,Mobile Apps,730694,Premium,Manado,Electronics,Virtual Account,CNY,Success,Afternoon
BTD00138,2025-01-01,ASR6177,Transfer,Mobile Apps,2122866,Corporate,Makassar,Electronics,Credit Card,JPY,Success,Night
BTD00139,2025-01-01,ASR5132,Deposit,ATM,11089997,Regular,Denpasar,Fashion,Credit Card,USD,Success,Night
BTD00140,2025-01-01,ASR0206,Withdrawal,Internet Banking,3194291,Corporate,Balikpapan,Food,Credit Card,SGD,Failed,Afternoon
BTD00141,2025-01-01,ASR2092,Transfer,Teller,13950184,Regular,Balikpapan,Electronics,Virtual Account,MYR,Pending,Evening
BTD00142,2025-01-01,ASR3059,Payment,Mobile Apps,8204018,Regular,Medan,Utilities,Credit Card,SAR,Success,Evening
BTD00143,2025-01-01,ASR6351,Payment,Mobile Apps,1440267,Regular,Pontianak,Entertainment,Debit Card,THB,Failed,Afternoon
BTD00144,2025-01-01,ASR3840,Payment,Mobile Apps,68222,Regular,Surabaya,Electronics,Credit Card,MYR,Success,Night
BTD00145,2025-01-01,ASR0853,Deposit,Internet Banking,14977500,Corporate,Balikpapan,Entertainment,Debit Card,IDR,Pending,Evening
BTD00146,2025-01-01,ASR8896,Withdrawal,Teller,699422,Corporate,Balikpapan,Food,QRIS,KRW,Success,Morning
BTD00147,2025-01-01,ASR7255,Deposit,Teller,2901129,Regular,Jakarta,Utilities,Debit Card,KRW,Success,Night
BTD00148,2025-01-01,ASR7624,Transfer,Internet Banking,10126829,Corporate,Makassar,Entertainment,QRIS,EUR,Failed,Night
BTD00149,2025-01-01,ASR9543,Transfer,Mobile Apps,7491143,Premium,Palembang,Food,Debit Card,SAR,Pending,Night
BTD00150,2025-01-01,ASR3334,Withdrawal,Teller,14855724,Regular,Denpasar,Food,Virtual Account,USD,Failed,Evening
BTD00151,2025-01-01,ASR1470,Payment,ATM,12777072,Regular,Bandung,Food,Virtual Account,THB,Failed,Morning
BTD00152,2025-01-01,ASR1443,Withdrawal,Teller,2973007,Regular,Bandung,Entertainment,QRIS,SGD,Pending,Night
BTD00153,2025-01-01,ASR5064,Transfer,Internet Banking,14640036,Premium,Denpasar,Fashion,Credit Card,SGD,Failed,Afternoon
BTD00154,2025-01-01,ASR7790,Deposit,Teller,236415,Regular,Surabaya,Entertainment,Credit Card,KRW,Pending,Afternoon
BTD00155,2025-01-01,ASR4951,Transfer,ATM,3749920,Regular,Jakarta,Utilities,QRIS,KRW,Failed,Morning
BTD00156,2025-01-01,ASR9543,Withdrawal,Teller,8799228,Corporate,Denpasar,Electronics,Credit Card,JPY,Failed,Afternoon
BTD00157,2025-01-01,ASR7180,Payment,Internet Banking,12340751,Corporate,Balikpapan,Utilities,Debit Card,EUR,Success,Morning
BTD00158,2025-01-01,ASR7569,Withdrawal,Teller,4115264,Corporate,Balikpapan,Utilities,Credit Card,JPY,Success,Evening
BTD00159,2025-01-01,ASR3714,Transfer,ATM,5572437,Premium,Manado,Utilities,Debit Card,KRW,Pending,Evening
BTD00160,2025-01-01,ASR0112,Payment,Teller,13581721,Corporate,Denpasar,Electronics,Virtual Account,EUR,Pending,Evening
BTD00161,2025-01-01,ASR3649,Withdrawal,ATM,574234,Corporate,Surabaya,Utilities,QRIS,MYR,Pending,Evening
BTD00162,2025-01-01,ASR4208,Transfer,Teller,4320170,Regular,Pontianak,Utilities,Debit Card,USD,Success,Afternoon
BTD00163,2025-01-01,ASR0251,Payment,Teller,7999443,Premium,Bandung,Entertainment,QRIS,KRW,Pending,Evening
BTD00164,2025-01-01,ASR1544,Withdrawal,Internet Banking,11468361,Regular,Pontianak,Entertainment,Credit Card,SAR,Success,Night
BTD00165,2025-01-01,ASR0900,Withdrawal,Mobile Apps,3337344,Premium,Balikpapan,Entertainment,Debit Card,EUR,Success,Night
BTD00166,2025-01-01,ASR1793,Transfer,Mobile Apps,10720500,Premium,Surabaya,Electronics,Virtual Account,IDR,Failed,Night
BTD00167,2025-01-01,ASR2278,Transfer,Internet Banking,4643590,Premium,Medan,Entertainment,Credit Card,MYR,Failed,Evening
BTD00168,2025-01-01,ASR9167,Withdrawal,Teller,310025,Premium,Makassar,Food,Debit Card,MYR,Pending,Evening
BTD00169,2025-01-01,ASR2685,Deposit,Internet Banking,11823353,Regular,Medan,Utilities,Debit Card,CNY,Success,Evening
BTD00170,2025-01-01,ASR4313,Withdrawal,ATM,7485851,Regular,Denpasar,Electronics,Credit Card,CNY,Pending,Morning
BTD00171,2025-01-01,ASR2168,Transfer,Teller,1877515,Regular,Jakarta,Food,QRIS,SAR,Success,Evening
BTD00172,2025-01-01,ASR0201,Withdrawal,Internet Banking,5747651,Corporate,Palembang,Fashion,QRIS,USD,Failed,Evening
BTD00173,2025-01-01,ASR5812,Deposit,ATM,11050345,Premium,Medan,Electronics,Credit Card,EUR,Failed,Afternoon
BTD00174,2025-01-01,ASR4422,Withdrawal,Mobile Apps,10172381,Premium,Palembang,Utilities,QRIS,CNY,Failed,Afternoon
BTD00175,2025-01-01,ASR9026,Transfer,Teller,740296,Premium,Denpasar,Electronics,QRIS,SGD,Failed,Evening
BTD00176,2025-01-01,ASR3826,Withdrawal,ATM,12132119,Regular,Medan,Fashion,Virtual Account,JPY,Pending,Afternoon
BTD00177,2025-01-01,ASR3990,Transfer,Teller,1103000,Premium,Bandung,Utilities,Debit Card,IDR,Failed,Afternoon
BTD00178,2025-01-01,ASR2673,Deposit,Internet Banking,9826000,Regular,Pontianak,Electronics,QRIS,IDR,Success,Afternoon
BTD00179,2025-01-01,ASR5626,Payment,Internet Banking,10461594,Premium,Palembang,Food,QRIS,SGD,Success,Evening
BTD00180,2025-01-01,ASR4750,Withdrawal,Teller,6976410,Corporate,Bandung,Food,Credit Card,SGD,Failed,Afternoon
BTD00181,2025-01-01,ASR5350,Withdrawal,Teller,14839295,Corporate,Jakarta,Utilities,Virtual Account,KRW,Pending,Afternoon
BTD00182,2025-01-01,ASR2320,Withdrawal,ATM,4732306,Corporate,Pontianak,Entertainment,QRIS,USD,Success,Morning
BTD00183,2025-01-01,ASR2369,Withdrawal,Mobile Apps,11538325,Corporate,Balikpapan,Fashion,Debit Card,SAR,Failed,Morning
BTD00184,2025-01-01,ASR6185,Payment,Internet Banking,12446845,Regular,Bandung,Entertainment,QRIS,THB,Pending,Night
BTD00185,2025-01-01,ASR6167,Payment,ATM,5414000,Regular,Jayapura,Entertainment,Credit Card,IDR,Failed,Afternoon
BTD00186,2025-01-01,ASR0401,Payment,Mobile Apps,13513294,Premium,Denpasar,Electronics,QRIS,KRW,Success,Morning
BTD00187,2025-01-01,ASR6863,Transfer,Internet Banking,1141043,Corporate,Jayapura,Utilities,Virtual Account,USD,Pending,Night
BTD00188,2025-01-01,ASR4325,Deposit,Mobile Apps,1932254,Corporate,Surabaya,Fashion,Credit Card,MYR,Failed,Night
BTD00189,2025-01-01,ASR7931,Transfer,Internet Banking,3384497,Corporate,Pontianak,Electronics,QRIS,USD,Failed,Afternoon
BTD00190,2025-01-01,ASR0474,Deposit,Mobile Apps,3058374,Corporate,Palembang,Utilities,QRIS,MYR,Failed,Morning
BTD00191,2025-01-01,ASR7531,Deposit,ATM,5694474,Regular,Medan,Utilities,QRIS,SGD,Failed,Afternoon
BTD00192,2025-01-01,ASR6863,Payment,ATM,12759500,Regular,Makassar,Electronics,QRIS,IDR,Failed,Morning
BTD00193,2025-01-01,ASR9170,Withdrawal,ATM,12592504,Regular,Denpasar,Food,Debit Card,KRW,Success,Afternoon
BTD00194,2025-01-01,ASR9424,Transfer,ATM,5283300,Corporate,Balikpapan,Utilities,Credit Card,USD,Pending,Afternoon
BTD00195,2025-01-01,ASR4587,Payment,Internet Banking,13449062,Corporate,Surabaya,Utilities,Debit Card,JPY,Failed,Afternoon
BTD00196,2025-01-01,ASR3516,Withdrawal,Teller,12428844,Premium,Balikpapan,Fashion,Virtual Account,THB,Pending,Afternoon
BTD00197,2025-01-01,ASR3955,Transfer,Mobile Apps,5350357,Regular,Palembang,Fashion,QRIS,CNY,Success,Evening
BTD00198,2025-01-01,ASR6558,Withdrawal,Mobile Apps,14042131,Corporate,Balikpapan,Food,Debit Card,EUR,Pending,Night
BTD00199,2025-01-01,ASR5500,Withdrawal,ATM,9879920,Premium,Jayapura,Food,Virtual Account,SGD,Failed,Night
BTD00200,2025-01-01,ASR4517,Deposit,Internet Banking,9659469,Regular,Denpasar,Entertainment,Debit Card,MYR,Pending,Morning
BTD00201,2025-01-02,ASR9313,Deposit,Internet Banking,11953259,Regular,Palembang,Electronics,QRIS,CNY,Pending,Night
BTD00202,2025-01-02,ASR3657,Transfer,Internet Banking,800464,Corporate,Jayapura,Entertainment,Debit Card,SAR,Pending,Morning
BTD00203,2025-01-02,ASR7300,Deposit,Teller,1388717,Regular,Jakarta,Food,Debit Card,EUR,Failed,Evening
BTD00204,2025-01-02,ASR9869,Transfer,Teller,475035,Premium,Bandung,Fashion,Debit Card,USD,Pending,Evening
BTD00205,2025-01-02,ASR9140,Payment,Mobile Apps,177000,Premium,Balikpapan,Entertainment,Virtual Account,IDR,Failed,Morning
BTD00206,2025-01-02,ASR3216,Payment,ATM,7961967,Regular,Makassar,Utilities,Credit Card,KRW,Success,Evening
BTD00207,2025-01-02,ASR8679,Withdrawal,Internet Banking,14166413,Premium,Jakarta,Utilities,Credit Card,SAR,Success,Afternoon
BTD00208,2025-01-02,ASR7635,Withdrawal,Mobile Apps,10792743,Premium,Balikpapan,Electronics,Credit Card,JPY,Failed,Evening
